n,a_n_upper_bound,ceil_n_minus_1_over_3,prop16_lower_bound,attains_target,family,md_size,cleanup_ops_g,sum_b_i,two_g,provenance,witness_json
23,8,8,5,True,padded,22,7,14,14,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,21],[1,0],[2,3],[3,6],[4,9],[5,12],[6,15],[7,18],[8,1],[9,4],[10,7],[11,10],[12,13],[13,16],[14,19],[15,2],[16,5],[17,8],[18,11],[19,14],[20,17],[21,20],[22,0]],""down"":22,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21]],""up"":23,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22]]}"
24,8,8,5,True,trimmed,23,8,15,16,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,1],[9,4],[10,7],[11,10],[12,13],[13,16],[14,19],[15,22],[16,2],[17,5],[18,8],[19,11],[20,14],[21,17],[22,20],[23,0]],""down"":23,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22]],""up"":24,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23]]}"
25,8,8,5,True,transpose,24,8,16,16,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,1],[9,4],[10,7],[11,10],[12,13],[13,16],[14,19],[15,22],[16,2],[17,5],[18,8],[19,11],[20,14],[21,17],[22,20],[23,23],[24,0]],""down"":24,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23]],""up"":25,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24]]}"
26,9,9,5,True,padded,25,8,16,16,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,24],[1,0],[2,3],[3,6],[4,9],[5,12],[6,15],[7,18],[8,21],[9,1],[10,4],[11,7],[12,10],[13,13],[14,16],[15,19],[16,22],[17,2],[18,5],[19,8],[20,11],[21,14],[22,17],[23,20],[24,23],[25,0]],""down"":25,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24]],""up"":26,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25]]}"
27,9,9,6,True,trimmed,26,9,17,18,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,1],[10,4],[11,7],[12,10],[13,13],[14,16],[15,19],[16,22],[17,25],[18,2],[19,5],[20,8],[21,11],[22,14],[23,17],[24,20],[25,23],[26,0]],""down"":26,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25]],""up"":27,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26]]}"
28,9,9,6,True,transpose,27,9,18,18,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,1],[10,4],[11,7],[12,10],[13,13],[14,16],[15,19],[16,22],[17,25],[18,2],[19,5],[20,8],[21,11],[22,14],[23,17],[24,20],[25,23],[26,26],[27,0]],""down"":27,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26]],""up"":28,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27]]}"
29,10,10,6,True,padded,28,9,18,18,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,27],[1,0],[2,3],[3,6],[4,9],[5,12],[6,15],[7,18],[8,21],[9,24],[10,1],[11,4],[12,7],[13,10],[14,13],[15,16],[16,19],[17,22],[18,25],[19,2],[20,5],[21,8],[22,11],[23,14],[24,17],[25,20],[26,23],[27,26],[28,0]],""down"":28,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27]],""up"":29,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28]]}"
30,10,10,6,True,trimmed,29,10,19,20,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,1],[11,4],[12,7],[13,10],[14,13],[15,16],[16,19],[17,22],[18,25],[19,28],[20,2],[21,5],[22,8],[23,11],[24,14],[25,17],[26,20],[27,23],[28,26],[29,0]],""down"":29,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28]],""up"":30,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29]]}"
31,10,10,6,True,transpose,30,10,20,20,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,1],[11,4],[12,7],[13,10],[14,13],[15,16],[16,19],[17,22],[18,25],[19,28],[20,2],[21,5],[22,8],[23,11],[24,14],[25,17],[26,20],[27,23],[28,26],[29,29],[30,0]],""down"":30,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29]],""up"":31,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30]]}"
32,11,11,7,True,padded,31,10,20,20,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,30],[1,0],[2,3],[3,6],[4,9],[5,12],[6,15],[7,18],[8,21],[9,24],[10,27],[11,1],[12,4],[13,7],[14,10],[15,13],[16,16],[17,19],[18,22],[19,25],[20,28],[21,2],[22,5],[23,8],[24,11],[25,14],[26,17],[27,20],[28,23],[29,26],[30,29],[31,0]],""down"":31,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30]],""up"":32,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31]]}"
33,11,11,7,True,trimmed,32,11,21,22,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,30],[11,1],[12,4],[13,7],[14,10],[15,13],[16,16],[17,19],[18,22],[19,25],[20,28],[21,31],[22,2],[23,5],[24,8],[25,11],[26,14],[27,17],[28,20],[29,23],[30,26],[31,29],[32,0]],""down"":32,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31]],""up"":33,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32]]}"
34,11,11,7,True,transpose,33,11,22,22,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,30],[11,1],[12,4],[13,7],[14,10],[15,13],[16,16],[17,19],[18,22],[19,25],[20,28],[21,31],[22,2],[23,5],[24,8],[25,11],[26,14],[27,17],[28,20],[29,23],[30,26],[31,29],[32,32],[33,0]],""down"":33,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32]],""up"":34,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33]]}"
35,12,12,7,True,padded,34,11,22,22,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,33],[1,0],[2,3],[3,6],[4,9],[5,12],[6,15],[7,18],[8,21],[9,24],[10,27],[11,30],[12,1],[13,4],[14,7],[15,10],[16,13],[17,16],[18,19],[19,22],[20,25],[21,28],[22,31],[23,2],[24,5],[25,8],[26,11],[27,14],[28,17],[29,20],[30,23],[31,26],[32,29],[33,32],[34,0]],""down"":34,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33]],""up"":35,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34]]}"
36,12,12,7,True,trimmed,35,12,23,24,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,30],[11,33],[12,1],[13,4],[14,7],[15,10],[16,13],[17,16],[18,19],[19,22],[20,25],[21,28],[22,31],[23,34],[24,2],[25,5],[26,8],[27,11],[28,14],[29,17],[30,20],[31,23],[32,26],[33,29],[34,32],[35,0]],""down"":35,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34]],""up"":36,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35]]}"
37,12,12,8,True,transpose,36,12,24,24,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,30],[11,33],[12,1],[13,4],[14,7],[15,10],[16,13],[17,16],[18,19],[19,22],[20,25],[21,28],[22,31],[23,34],[24,2],[25,5],[26,8],[27,11],[28,14],[29,17],[30,20],[31,23],[32,26],[33,29],[34,32],[35,35],[36,0]],""down"":36,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35]],""up"":37,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36]]}"
38,13,13,8,True,padded,37,12,24,24,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,36],[1,0],[2,3],[3,6],[4,9],[5,12],[6,15],[7,18],[8,21],[9,24],[10,27],[11,30],[12,33],[13,1],[14,4],[15,7],[16,10],[17,13],[18,16],[19,19],[20,22],[21,25],[22,28],[23,31],[24,34],[25,2],[26,5],[27,8],[28,11],[29,14],[30,17],[31,20],[32,23],[33,26],[34,29],[35,32],[36,35],[37,0]],""down"":37,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36]],""up"":38,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36],[36,37]]}"
39,13,13,8,True,trimmed,38,13,25,26,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,30],[11,33],[12,36],[13,1],[14,4],[15,7],[16,10],[17,13],[18,16],[19,19],[20,22],[21,25],[22,28],[23,31],[24,34],[25,37],[26,2],[27,5],[28,8],[29,11],[30,14],[31,17],[32,20],[33,23],[34,26],[35,29],[36,32],[37,35],[38,0]],""down"":38,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36],[36,37]],""up"":39,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36],[36,37],[37,38]]}"
40,13,13,8,True,transpose,39,13,26,26,"constructive: families.family_for(n), FINDINGS F9","{""cross"":[[0,0],[1,3],[2,6],[3,9],[4,12],[5,15],[6,18],[7,21],[8,24],[9,27],[10,30],[11,33],[12,36],[13,1],[14,4],[15,7],[16,10],[17,13],[18,16],[19,19],[20,22],[21,25],[22,28],[23,31],[24,34],[25,37],[26,2],[27,5],[28,8],[29,11],[30,14],[31,17],[32,20],[33,23],[34,26],[35,29],[36,32],[37,35],[38,38],[39,0]],""down"":39,""down_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36],[36,37],[37,38]],""up"":40,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13],[13,14],[14,15],[15,16],[16,17],[17,18],[18,19],[19,20],[20,21],[21,22],[22,23],[23,24],[24,25],[25,26],[26,27],[27,28],[28,29],[29,30],[30,31],[31,32],[32,33],[33,34],[34,35],[35,36],[36,37],[37,38],[38,39]]}"
