n,a_n,prop16_lower_bound,exactness,molecules_scanned,enumeration_scope,witness_json
1,0,0,exact_hit_proven_lower_bound,1,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0]],""down"":1,""down_edges"":[],""up"":1,""up_edges"":[]}"
2,1,1,exact_hit_proven_lower_bound,1,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0],[1,0]],""down"":2,""down_edges"":[[0,1]],""up"":2,""up_edges"":[[0,1]]}"
3,1,1,exact_hit_proven_lower_bound,1,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0],[1,0],[2,1]],""down"":3,""down_edges"":[[0,1],[0,2]],""up"":3,""up_edges"":[[0,1],[1,2]]}"
4,1,1,exact_hit_proven_lower_bound,1,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0],[1,0],[2,1],[3,2]],""down"":4,""down_edges"":[[0,1],[0,2],[1,3]],""up"":4,""up_edges"":[[0,1],[1,2],[2,3]]}"
5,2,1,exact_full_enumeration_of_restricted_subclass,1620,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0],[1,0],[2,1],[3,2],[4,3]],""down"":5,""down_edges"":[[0,1],[0,2],[1,3],[1,4]],""up"":5,""up_edges"":[[0,1],[1,2],[2,3],[3,4]]}"
6,2,1,exact_full_enumeration_of_restricted_subclass,21420,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4]],""down"":6,""down_edges"":[[0,1],[0,2],[1,3],[1,4],[2,5]],""up"":6,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5]]}"
7,2,2,exact_hit_proven_lower_bound,1,|MD|=|MU|=n; MU chain; MD single-parent rooted tree,"{""cross"":[[0,0],[1,0],[2,1],[3,2],[4,3],[5,4],[6,5]],""down"":7,""down_edges"":[[0,1],[0,2],[1,3],[1,4],[2,5],[2,6]],""up"":7,""up_edges"":[[0,1],[1,2],[2,3],[3,4],[4,5],[5,6]]}"
